172.21.46.27: Eads-112
172.21.46.249: Crow-204
172.21.47.1: Whitaker-216
172.21.47.2: Whitaker-218
172.21.47.3: SomersPsych-249
172.21.47.4: SomersPsych-251
172.21.47.5: Busch-14
172.21.47.6: Busch-100
172.21.47.7: Busch-202
172.21.47.8: Eads-102
172.21.47.9: Eads-103
172.21.47.10: Eads-115
172.21.47.11: Eads-116
172.21.47.12: Eads-203
172.21.47.13: Eads-204
172.21.47.14: Eads-207
172.21.47.15: Eads-208
172.21.47.16: Eads-209
172.21.47.17: Eads-210
172.21.47.18: Eads-211
172.21.47.19: Eads-212
172.21.47.20: Eads-215
172.21.47.21: Eads-216
172.21.47.22: Rudolph-203
172.21.47.23: Rudolph-102
172.21.47.24: Rudolph-282
172.21.47.25: Cupples1-111
172.21.47.26: Cupples1-113
172.21.47.27: Cupples1-115
172.21.47.32: Duncker-1
172.21.47.29: Cupples1-215
172.21.47.28: Cupples1-207
172.21.47.31: Cupples1-218
172.21.47.30: Cupples1-216
172.21.47.33: Duncker-3
172.21.47.34: Duncker-101
172.21.47.35: Duncker-109
172.21.47.36: January10
172.21.47.37: January10A
172.21.47.38: January20
172.21.47.39: January110
172.21.47.40: McDonnell-162
172.21.47.41: McDonnell-361
172.21.47.42: Ridgley-107
172.21.47.43: Ridgley-122
172.21.47.45: Sever-102
172.21.47.46: Sever-300
172.21.47.44: Ridgley219
172.21.47.47: Crow201
172.21.47.48: Crow205
172.21.47.49: Crow206
172.21.47.50: Wilson-214
172.21.47.51: LifeSciences-118
172.21.47.52: Rebstock-215
172.21.47.54: Stienberg-105
172.21.47.55: Hillman-70
172.21.47.56: Hillman-60
172.21.47.206: Eads-205
172.21.47.217: Jan110-Front
172.21.47.224: McDonnell-362-Back
172.21.47.230: McDonnell-362-Front
172.21.48.90: Simon-17-Front
172.21.48.106: Mallinckrodt305Front
172.21.48.153: Wrighton-300
172.21.48.157: CupplesII-007
172.21.48.156: CupplesII-001
172.21.48.158: CupplesII-009
172.21.48.159: CupplesII-011
172.21.48.160: CupplesII-015
172.21.48.161: CupplesII-200
172.21.48.162: CupplesII-203
172.21.48.163: CupplesII-230
172.21.48.164: Mallinckrodt-302
172.21.48.165: Mallinckrodt-303
172.21.48.166: Mallinckrodt-305
172.21.48.167: Lopata-103
172.21.48.172: Brown-118
172.21.48.170: Lopata-229
172.21.48.168: Lopata-201
172.21.48.171: Lopata-302
172.21.48.169: Lopata-202
172.21.48.173: Simon018
172.21.48.174: Simon-20
172.21.48.176: Simon-22
172.21.48.177: Simon-23
172.21.48.178: Wrighton-201
172.21.48.179: Wrighton-250
172.21.48.180: Wrighton-260
172.21.48.181: Louderman-461
172.21.48.182: Umrath-140
172.21.48.185: Lopata-House-16
172.21.48.186: Lopata-House-21
172.21.48.187: Lopata-House-22
172.21.48.184: Lopata-House-11
172.21.48.188: LopataHouse-23
172.21.48.189: VillageHouse-14
172.21.48.190: DUC-233
172.21.48.191: DUC-236
172.21.48.192: Simon-1
172.21.48.194: Brown-100
172.21.48.195: McMillan-G052
172.21.48.196: Louderman-458
172.21.48.199: Wrighton-301-Back
172.21.48.200: Wrighton-301-Front
172.21.49.229: Wrighton300-BoothCam
172.21.128.45: Seigle-305-Front
172.21.128.52: Seigle-205-Front
172.21.128.53: Seigle-205-Back
172.21.128.57: Seigle-305-Back
172.21.128.62: Seigle-L006Booth
172.21.128.65: Seigle103
172.21.128.66: Seigle104
172.21.128.68: Seigle109
172.21.128.67: Seigle106
172.21.128.72: Seigle208
172.21.128.69: Seigle111
172.21.128.71: Seigle206
172.21.128.73: Seigle210
172.21.128.74: Seigle301
172.21.128.77: Seigle306
172.21.128.75: Seigle303
172.21.128.70: Seigle204
172.21.128.76: Seigle304
172.21.128.78: SeigleLL002
172.21.128.79: SeigleLL003
172.21.128.80: SeigleLL004
